"Account Number","Meter Number","Day","Daily Total","Estimated Read","Unit of Measurement"
"9100 192 6198 1","1707110","01/02/2021","3.9600","No","CCF"
"9100 192 6198 1","1707110","01/03/2021","3.3800","No","CCF"
"9100 192 6198 1","1707110","01/04/2021","3.7600","No","CCF"
"9100 192 6198 1","1707110","01/05/2021","3.2400","No","CCF"
"9100 192 6198 1","1707110","01/06/2021","3.6000","No","CCF"
"9100 192 6198 1","1707110","01/07/2021","3.5600","No","CCF"
"9100 192 6198 1","1707110","01/08/2021","3.6200","No","CCF"
"9100 192 6198 1","1707110","01/09/2021","3.2000","No","CCF"
"9100 192 6198 1","1707110","01/10/2021","4.7800","No","CCF"
"9100 192 6198 1","1707110","01/11/2021","4.1800","No","CCF"
"9100 192 6198 1","1707110","01/12/2021","4.3000","No","CCF"
"9100 192 6198 1","1707110","01/13/2021","3.4200","No","CCF"
"9100 192 6198 1","1707110","01/14/2021","2.8400","No","CCF"
"9100 192 6198 1","1707110","01/15/2021","3.4400","No","CCF"
"9100 192 6198 1","1707110","01/16/2021","3.8800","No","CCF"
"9100 192 6198 1","1707110","01/17/2021","3.7200","No","CCF"
"9100 192 6198 1","1707110","01/18/2021","3.6800","No","CCF"
"9100 192 6198 1","1707110","01/19/2021","4.0000","No","CCF"
"9100 192 6198 1","1707110","01/20/2021","4.4800","No","CCF"
"9100 192 6198 1","1707110","01/21/2021","3.1000","No","CCF"
"9100 192 6198 1","1707110","01/22/2021","4.4000","No","CCF"
"9100 192 6198 1","1707110","01/23/2021","4.0800","No","CCF"
"9100 192 6198 1","1707110","01/24/2021","4.7200","No","CCF"
"9100 192 6198 1","1707110","01/25/2021","4.4800","No","CCF"
"9100 192 6198 1","1707110","01/26/2021","4.1000","No","CCF"
"9100 192 6198 1","1707110","01/27/2021","3.8000","No","CCF"
"9100 192 6198 1","1707110","01/28/2021","4.9200","No","CCF"
"9100 192 6198 1","1707110","01/29/2021","3.9400","No","CCF"
"9100 192 6198 1","1707110","01/30/2021","5.0200","No","CCF"
"9100 192 6198 1","1707110","01/31/2021","4.5200","No","CCF"
"9100 192 6198 1","1707110","02/01/2021","4.4400","No","CCF"
"9100 192 6198 1","1707110","02/02/2021","3.2400","No","CCF"
"9100 192 6198 1","1707110","02/03/2021","3.5200","No","CCF"
"9100 192 6198 1","1707110","02/04/2021","4.4800","No","CCF"
"9100 192 6198 1","1707110","02/05/2021","4.7200","No","CCF"
"9100 192 6198 1","1707110","02/06/2021","4.6200","No","CCF"
"9100 192 6198 1","1707110","02/07/2021","4.3200","No","CCF"
"9100 192 6198 1","1707110","02/08/2021","5.2200","No","CCF"
"9100 192 6198 1","1707110","02/09/2021","4.2400","No","CCF"
"9100 192 6198 1","1707110","02/10/2021","5.5400","No","CCF"
"9100 192 6198 1","1707110","02/11/2021","4.3600","Yes","CCF"
"9100 192 6198 1","1707110","02/12/2021","4.3600","Yes","CCF"
"9100 192 6198 1","1707110","02/13/2021","4.3600","Yes","CCF"
"9100 192 6198 1","1707110","02/14/2021","4.3600","Yes","CCF"
"9100 192 6198 1","1707110","02/15/2021","4.9300","Yes","CCF"
"9100 192 6198 1","1707110","02/16/2021","4.9300","Yes","CCF"
"9100 192 6198 1","1707110","02/17/2021","5.8400","No","CCF"
"9100 192 6198 1","1707110","02/18/2021","4.7600","No","CCF"
"9100 192 6198 1","1707110","02/19/2021","4.5800","No","CCF"
"9100 192 6198 1","1707110","02/20/2021","4.0867","Yes","CCF"
"9100 192 6198 1","1707110","02/21/2021","4.0867","Yes","CCF"
"9100 192 6198 1","1707110","02/22/2021","4.0867","Yes","CCF"
"9100 192 6198 1","1707110","02/23/2021","2.5000","No","CCF"
"9100 192 6198 1","1707110","02/24/2021","2.8350","Yes","CCF"
"9100 192 6198 1","1707110","02/25/2021","2.8350","Yes","CCF"
"9100 192 6198 1","1707110","02/26/2021","2.8350","Yes","CCF"
"9100 192 6198 1","1707110","02/27/2021","2.8350","Yes","CCF"
"9100 192 6198 1","1707110","02/28/2021","2.6600","No","CCF"
"9100 192 6198 1","1707110","03/01/2021","3.2000","No","CCF"
"9100 192 6198 1","1707110","03/02/2021","3.4200","No","CCF"
"9100 192 6198 1","1707110","03/03/2021","3.1100","Yes","CCF"
"9100 192 6198 1","1707110","03/04/2021","3.1100","Yes","CCF"
"9100 192 6198 1","1707110","03/05/2021","2.9600","No","CCF"
"9100 192 6198 1","1707110","03/06/2021","2.8900","Yes","CCF"
"9100 192 6198 1","1707110","03/07/2021","2.8900","Yes","CCF"
"9100 192 6198 1","1707110","03/08/2021","2.5000","No","CCF"
"9100 192 6198 1","1707110","03/09/2021","1.9600","No","CCF"
"9100 192 6198 1","1707110","03/10/2021","1.5800","Yes","CCF"
"9100 192 6198 1","1707110","03/11/2021","1.5800","Yes","CCF"
"9100 192 6198 1","1707110","03/12/2021","1.8900","Yes","CCF"
"9100 192 6198 1","1707110","03/13/2021","1.8900","Yes","CCF"
"9100 192 6198 1","1707110","03/14/2021","2.0800","No","CCF"
"9100 192 6198 1","1707110","03/15/2021","2.9600","Yes","CCF"
"9100 192 6198 1","1707110","03/16/2021","2.9600","Yes","CCF"
"9100 192 6198 1","1707110","03/17/2021","2.6267","Yes","CCF"
"9100 192 6198 1","1707110","03/18/2021","2.6267","Yes","CCF"
"9100 192 6198 1","1707110","03/19/2021","2.6267","Yes","CCF"
"9100 192 6198 1","1707110","03/20/2021","2.2133","Yes","CCF"
"9100 192 6198 1","1707110","03/21/2021","2.2133","Yes","CCF"
"9100 192 6198 1","1707110","03/22/2021","2.2133","Yes","CCF"
"9100 192 6198 1","1707110","03/23/2021","1.2800","No","CCF"
"9100 192 6198 1","1707110","03/24/2021","1.1400","No","CCF"
"9100 192 6198 1","1707110","03/25/2021","1.4600","Yes","CCF"
"9100 192 6198 1","1707110","03/26/2021","1.4600","Yes","CCF"
"9100 192 6198 1","1707110","03/27/2021","1.6600","No","CCF"
"9100 192 6198 1","1707110","03/28/2021","1.8933","Yes","CCF"
"9100 192 6198 1","1707110","03/29/2021","1.8933","Yes","CCF"
"9100 192 6198 1","1707110","03/30/2021","1.8933","Yes","CCF"
"9100 192 6198 1","1707110","03/31/2021","1.9700","Yes","CCF"
"9100 192 6198 1","1707110","04/01/2021","1.9700","Yes","CCF"
"9100 192 6198 1","1707110","04/02/2021","3.2200","No","CCF"
"9100 192 6198 1","1707110","04/03/2021","2.4400","No","CCF"
"9100 192 6198 1","1707110","04/04/2021","1.6800","Yes","CCF"
"9100 192 6198 1","1707110","04/05/2021","1.6800","Yes","CCF"
"9100 192 6198 1","1707110","04/06/2021","1.6800","Yes","CCF"
"9100 192 6198 1","1707110","04/07/2021","0.4200","No","CCF"
"9100 192 6198 1","1707110","04/08/2021","0.4200","No","CCF"
"9100 192 6198 1","1707110","04/09/2021","1.0100","Yes","CCF"
"9100 192 6198 1","1707110","04/10/2021","1.0100","Yes","CCF"
"9100 192 6198 1","1707110","04/11/2021","1.1467","Yes","CCF"
"9100 192 6198 1","1707110","04/12/2021","1.1467","Yes","CCF"
"9100 192 6198 1","1707110","04/13/2021","1.1467","Yes","CCF"
"9100 192 6198 1","1707110","04/14/2021","2.0900","Yes","CCF"
"9100 192 6198 1","1707110","04/15/2021","2.0900","Yes","CCF"
"9100 192 6198 1","1707110","04/16/2021","2.0900","Yes","CCF"
"9100 192 6198 1","1707110","04/17/2021","2.0900","Yes","CCF"
"9100 192 6198 1","1707110","04/18/2021","1.5000","No","CCF"
"9100 192 6198 1","1707110","04/19/2021","1.6400","No","CCF"
"9100 192 6198 1","1707110","04/20/2021","2.6360","Yes","CCF"
"9100 192 6198 1","1707110","04/21/2021","2.6360","Yes","CCF"
"9100 192 6198 1","1707110","04/22/2021","2.6360","Yes","CCF"
"9100 192 6198 1","1707110","04/23/2021","2.6360","Yes","CCF"
"9100 192 6198 1","1707110","04/24/2021","2.6360","Yes","CCF"
"9100 192 6198 1","1707110","04/25/2021","1.6200","No","CCF"
"9100 192 6198 1","1707110","04/26/2021","1.7500","Yes","CCF"
"9100 192 6198 1","1707110","04/27/2021","1.7500","Yes","CCF"
"9100 192 6198 1","1707110","04/28/2021","0.6600","No","CCF"
"9100 192 6198 1","1707110","04/29/2021","1.0200","No","CCF"
"9100 192 6198 1","1707110","04/30/2021","1.7700","Yes","CCF"
"9100 192 6198 1","1707110","05/01/2021","1.7700","Yes","CCF"
"9100 192 6198 1","1707110","05/02/2021","0.3400","No","CCF"
"9100 192 6198 1","1707110","05/03/2021","0.2400","No","CCF"
"9100 192 6198 1","1707110","05/04/2021","0.8400","No","CCF"
"9100 192 6198 1","1707110","05/05/2021","1.4600","No","CCF"
"9100 192 6198 1","1707110","05/06/2021","2.0600","Yes","CCF"
"9100 192 6198 1","1707110","05/07/2021","2.0600","Yes","CCF"
"9100 192 6198 1","1707110","05/08/2021","1.9400","No","CCF"
"9100 192 6198 1","1707110","05/09/2021","1.7400","Yes","CCF"
"9100 192 6198 1","1707110","05/10/2021","1.7400","Yes","CCF"
"9100 192 6198 1","1707110","05/11/2021","1.7400","Yes","CCF"
"9100 192 6198 1","1707110","05/12/2021","1.7400","Yes","CCF"
"9100 192 6198 1","1707110","05/13/2021","1.7400","Yes","CCF"
"9100 192 6198 1","1707110","05/14/2021","1.7400","Yes","CCF"
"9100 192 6198 1","1707110","05/15/2021","1.7400","Yes","CCF"
"9100 192 6198 1","1707110","05/16/2021","0.0000","No","CCF"
"9100 192 6198 1","1707110","05/17/2021","2.1200","No","CCF"
"9100 192 6198 1","1707110","05/18/2021","0.4800","Yes","CCF"
"9100 192 6198 1","1707110","05/19/2021","0.4800","Yes","CCF"
"9100 192 6198 1","1707110","05/20/2021","0.4800","Yes","CCF"
"9100 192 6198 1","1707110","05/21/2021","0.5600","No","CCF"
"9100 192 6198 1","1707110","05/22/2021","0.5900","Yes","CCF"
"9100 192 6198 1","1707110","05/23/2021","0.5900","Yes","CCF"
"9100 192 6198 1","1707110","05/24/2021","0.4000","No","CCF"
"9100 192 6198 1","1707110","05/25/2021","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","05/26/2021","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","05/27/2021","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","05/28/2021","1.7200","Yes","CCF"
"9100 192 6198 1","1707110","05/29/2021","1.7200","Yes","CCF"
"9100 192 6198 1","1707110","05/30/2021","0.0000","No","CCF"
"9100 192 6198 1","1707110","05/31/2021","2.4400","No","CCF"
"9100 192 6198 1","1707110","06/01/2021","0.4200","No","CCF"
"9100 192 6198 1","1707110","06/02/2021","0.5600","No","CCF"
"9100 192 6198 1","1707110","06/03/2021","0.2600","No","CCF"
"9100 192 6198 1","1707110","06/04/2021","0.1000","No","CCF"
"9100 192 6198 1","1707110","06/05/2021","0.1200","No","CCF"
"9100 192 6198 1","1707110","06/06/2021","0.1200","No","CCF"
"9100 192 6198 1","1707110","06/07/2021","0.0200","No","CCF"
"9100 192 6198 1","1707110","06/08/2021","0.1700","Yes","CCF"
"9100 192 6198 1","1707110","06/09/2021","0.1700","Yes","CCF"
"9100 192 6198 1","1707110","06/10/2021","0.1600","No","CCF"
"9100 192 6198 1","1707110","06/11/2021","0.4200","No","CCF"
"9100 192 6198 1","1707110","06/12/2021","0.4800","No","CCF"
"9100 192 6198 1","1707110","06/13/2021","0.5200","No","CCF"
"9100 192 6198 1","1707110","06/14/2021","0.5050","Yes","CCF"
"9100 192 6198 1","1707110","06/15/2021","0.5050","Yes","CCF"
"9100 192 6198 1","1707110","06/16/2021","0.5050","Yes","CCF"
"9100 192 6198 1","1707110","06/17/2021","0.5050","Yes","CCF"
"9100 192 6198 1","1707110","06/18/2021","0.6000","No","CCF"
"9100 192 6198 1","1707110","06/19/2021","0.3900","Yes","CCF"
"9100 192 6198 1","1707110","06/20/2021","0.3900","Yes","CCF"
