"Account Number","Meter Number","Day","Daily Total","Estimated Read","Unit of Measurement"
"9100 192 6198 1","1707110","09/01/2021","0.4000","Yes","CCF"
"9100 192 6198 1","1707110","09/02/2021","0.4000","Yes","CCF"
"9100 192 6198 1","1707110","09/03/2021","0.8000","No","CCF"
"9100 192 6198 1","1707110","09/04/2021","0.4800","No","CCF"
"9100 192 6198 1","1707110","09/05/2021","0.5500","Yes","CCF"
"9100 192 6198 1","1707110","09/06/2021","0.5500","Yes","CCF"
"9100 192 6198 1","1707110","09/07/2021","0.5200","Yes","CCF"
"9100 192 6198 1","1707110","09/08/2021","0.5200","Yes","CCF"
"9100 192 6198 1","1707110","09/09/2021","0.5900","Yes","CCF"
"9100 192 6198 1","1707110","09/10/2021","0.5900","Yes","CCF"
"9100 192 6198 1","1707110","09/11/2021","0.4550","Yes","CCF"
"9100 192 6198 1","1707110","09/12/2021","0.4550","Yes","CCF"
"9100 192 6198 1","1707110","09/13/2021","0.4550","Yes","CCF"
"9100 192 6198 1","1707110","09/14/2021","0.4550","Yes","CCF"
"9100 192 6198 1","1707110","09/15/2021","0.3000","No","CCF"
"9100 192 6198 1","1707110","09/16/2021","0.4600","No","CCF"
"9100 192 6198 1","1707110","09/17/2021","0.5000","No","CCF"
"9100 192 6198 1","1707110","09/18/2021","0.5533","Yes","CCF"
"9100 192 6198 1","1707110","09/19/2021","0.5533","Yes","CCF"
"9100 192 6198 1","1707110","09/20/2021","0.5533","Yes","CCF"
"9100 192 6198 1","1707110","09/21/2021","0.6000","No","CCF"
"9100 192 6198 1","1707110","09/22/2021","0.8300","Yes","CCF"
"9100 192 6198 1","1707110","09/23/2021","0.8300","Yes","CCF"
"9100 192 6198 1","1707110","09/24/2021","0.9200","Yes","CCF"
"9100 192 6198 1","1707110","09/25/2021","0.9200","Yes","CCF"
"9100 192 6198 1","1707110","09/26/2021","1.0600","No","CCF"
"9100 192 6198 1","1707110","09/27/2021","0.5200","Yes","CCF"
"9100 192 6198 1","1707110","09/28/2021","0.5200","Yes","CCF"
"9100 192 6198 1","1707110","09/29/2021","0.9267","Yes","CCF"
"9100 192 6198 1","1707110","09/30/2021","0.9267","Yes","CCF"
"9100 192 6198 1","1707110","10/01/2021","0.9267","Yes","CCF"
"9100 192 6198 1","1707110","10/02/2021","0.6150","Yes","CCF"
"9100 192 6198 1","1707110","10/03/2021","0.6150","Yes","CCF"
"9100 192 6198 1","1707110","10/04/2021","0.6150","Yes","CCF"
"9100 192 6198 1","1707110","10/05/2021","0.6150","Yes","CCF"
"9100 192 6198 1","1707110","10/06/2021","0.4800","Yes","CCF"
"9100 192 6198 1","1707110","10/07/2021","0.4800","Yes","CCF"
"9100 192 6198 1","1707110","10/08/2021","0.5700","Yes","CCF"
"9100 192 6198 1","1707110","10/09/2021","0.5700","Yes","CCF"
"9100 192 6198 1","1707110","10/10/2021","0.6200","No","CCF"
"9100 192 6198 1","1707110","10/11/2021","0.5500","Yes","CCF"
"9100 192 6198 1","1707110","10/12/2021","0.5500","Yes","CCF"
"9100 192 6198 1","1707110","10/13/2021","0.3800","No","CCF"
"9100 192 6198 1","1707110","10/14/2021","0.6200","No","CCF"
"9100 192 6198 1","1707110","10/15/2021","0.6000","No","CCF"
"9100 192 6198 1","1707110","10/16/2021","1.1667","Yes","CCF"
"9100 192 6198 1","1707110","10/17/2021","1.1667","Yes","CCF"
"9100 192 6198 1","1707110","10/18/2021","1.1667","Yes","CCF"
"9100 192 6198 1","1707110","10/19/2021","1.4200","No","CCF"
"9100 192 6198 1","1707110","10/20/2021","0.7600","Yes","CCF"
"9100 192 6198 1","1707110","10/21/2021","0.7600","Yes","CCF"
