"Account Number","Meter Number","Day","Daily Total","Estimated Read","Unit of Measurement"
"9100 192 6198 1","1707110","08/03/2022","0.2800","No","CCF"
"9100 192 6198 1","1707110","08/04/2022","0.4200","Yes","CCF"
"9100 192 6198 1","1707110","08/05/2022","0.4200","Yes","CCF"
"9100 192 6198 1","1707110","08/06/2022","0.4000","Yes","CCF"
"9100 192 6198 1","1707110","08/07/2022","0.4000","Yes","CCF"
"9100 192 6198 1","1707110","08/08/2022","0.3400","No","CCF"
"9100 192 6198 1","1707110","08/09/2022","0.2800","No","CCF"
"9100 192 6198 1","1707110","08/10/2022","0.2800","No","CCF"
"9100 192 6198 1","1707110","08/11/2022","0.3600","No","CCF"
"9100 192 6198 1","1707110","08/12/2022","0.6200","No","CCF"
"9100 192 6198 1","1707110","08/13/2022","0.7500","Yes","CCF"
"9100 192 6198 1","1707110","08/14/2022","0.7500","Yes","CCF"
"9100 192 6198 1","1707110","08/15/2022","0.4867","Yes","CCF"
"9100 192 6198 1","1707110","08/16/2022","0.4867","Yes","CCF"
"9100 192 6198 1","1707110","08/17/2022","0.4867","Yes","CCF"
"9100 192 6198 1","1707110","08/18/2022","0.8533","Yes","CCF"
"9100 192 6198 1","1707110","08/19/2022","0.8533","Yes","CCF"
"9100 192 6198 1","1707110","08/20/2022","0.8533","Yes","CCF"
"9100 192 6198 1","1707110","08/21/2022","0.4000","No","CCF"
"9100 192 6198 1","1707110","08/22/2022","0.4400","No","CCF"
"9100 192 6198 1","1707110","08/23/2022","0.5400","Yes","CCF"
"9100 192 6198 1","1707110","08/24/2022","0.5400","Yes","CCF"
"9100 192 6198 1","1707110","08/25/2022","0.5700","Yes","CCF"
"9100 192 6198 1","1707110","08/26/2022","0.5700","Yes","CCF"
"9100 192 6198 1","1707110","08/27/2022","0.5800","No","CCF"
"9100 192 6198 1","1707110","08/28/2022","0.4933","Yes","CCF"
"9100 192 6198 1","1707110","08/29/2022","0.4933","Yes","CCF"
"9100 192 6198 1","1707110","08/30/2022","0.4933","Yes","CCF"
"9100 192 6198 1","1707110","08/31/2022","0.4000","No","CCF"
"9100 192 6198 1","1707110","09/01/2022","0.3200","No","CCF"
"9100 192 6198 1","1707110","09/02/2022","0.4200","Yes","CCF"
"9100 192 6198 1","1707110","09/03/2022","0.4200","Yes","CCF"
"9100 192 6198 1","1707110","09/04/2022","0.5800","No","CCF"
"9100 192 6198 1","1707110","09/05/2022","0.5700","Yes","CCF"
"9100 192 6198 1","1707110","09/06/2022","0.5700","Yes","CCF"
"9100 192 6198 1","1707110","09/07/2022","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","09/08/2022","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","09/09/2022","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","09/10/2022","0.0000","No","CCF"
"9100 192 6198 1","1707110","09/11/2022","0.8500","Yes","CCF"
"9100 192 6198 1","1707110","09/12/2022","0.8500","Yes","CCF"
"9100 192 6198 1","1707110","09/13/2022","0.7000","No","CCF"
"9100 192 6198 1","1707110","09/14/2022","0.4200","Yes","CCF"
"9100 192 6198 1","1707110","09/15/2022","0.4200","Yes","CCF"
"9100 192 6198 1","1707110","09/16/2022","0.4400","No","CCF"
"9100 192 6198 1","1707110","09/17/2022","0.5000","Yes","CCF"
"9100 192 6198 1","1707110","09/18/2022","0.5000","Yes","CCF"
"9100 192 6198 1","1707110","09/19/2022","0.4200","No","CCF"
"9100 192 6198 1","1707110","09/20/2022","0.4600","No","CCF"
"9100 192 6198 1","1707110","09/21/2022","0.4600","No","CCF"
"9100 192 6198 1","1707110","09/22/2022","0.8600","Yes","CCF"
"9100 192 6198 1","1707110","09/23/2022","0.8600","Yes","CCF"
"9100 192 6198 1","1707110","09/24/2022","0.9200","No","CCF"
"9100 192 6198 1","1707110","09/25/2022","0.7800","No","CCF"
"9100 192 6198 1","1707110","09/26/2022","1.0200","No","CCF"
"9100 192 6198 1","1707110","09/27/2022","1.3000","No","CCF"
"9100 192 6198 1","1707110","09/28/2022","1.3200","Yes","CCF"
"9100 192 6198 1","1707110","09/29/2022","1.3200","Yes","CCF"
"9100 192 6198 1","1707110","09/30/2022","1.5200","No","CCF"
"9100 192 6198 1","1707110","10/01/2022","1.2600","No","CCF"
"9100 192 6198 1","1707110","10/02/2022","1.2150","Yes","CCF"
"9100 192 6198 1","1707110","10/03/2022","1.2150","Yes","CCF"
"9100 192 6198 1","1707110","10/04/2022","1.2150","Yes","CCF"
"9100 192 6198 1","1707110","10/05/2022","1.2150","Yes","CCF"
"9100 192 6198 1","1707110","10/06/2022","0.5200","No","CCF"
"9100 192 6198 1","1707110","10/07/2022","0.1200","No","CCF"
"9100 192 6198 1","1707110","10/08/2022","0.8800","Yes","CCF"
"9100 192 6198 1","1707110","10/09/2022","0.8800","Yes","CCF"
"9100 192 6198 1","1707110","10/10/2022","0.1600","No","CCF"
"9100 192 6198 1","1707110","10/11/2022","0.9400","No","CCF"
