"Account Number","Meter Number","Day","Daily Total","Estimated Read","Unit of Measurement"
"9100 192 6198 1","1707110","06/29/2026","0.2750","Yes","CCF"
"9100 192 6198 1","1707110","06/30/2026","0.2750","Yes","CCF"
"9100 192 6198 1","1707110","07/01/2026","0.2750","Yes","CCF"
"9100 192 6198 1","1707110","07/02/2026","0.2750","Yes","CCF"
"9100 192 6198 1","1707110","07/03/2026","0.3950","Yes","CCF"
"9100 192 6198 1","1707110","07/04/2026","0.3950","Yes","CCF"
"9100 192 6198 1","1707110","07/05/2026","0.3950","Yes","CCF"
"9100 192 6198 1","1707110","07/06/2026","0.3950","Yes","CCF"
"9100 192 6198 1","1707110","07/07/2026","0.3400","No","CCF"
"9100 192 6198 1","1707110","07/08/2026","0.3800","No","CCF"
"9100 192 6198 1","1707110","07/09/2026","0.2700","Yes","CCF"
"9100 192 6198 1","1707110","07/10/2026","0.2700","Yes","CCF"
"9100 192 6198 1","1707110","07/11/2026","0.5600","No","CCF"
"9100 192 6198 1","1707110","07/12/2026","0.1800","Yes","CCF"
"9100 192 6198 1","1707110","07/13/2026","0.1800","Yes","CCF"
"9100 192 6198 1","1707110","07/14/2026","0.1800","Yes","CCF"
"9100 192 6198 1","1707110","07/15/2026","0.3400","No","CCF"
"9100 192 6198 1","1707110","07/16/2026","0.2600","No","CCF"
"9100 192 6198 1","1707110","07/17/2026","0.3400","No","CCF"
"9100 192 6198 1","1707110","07/18/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/19/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/20/2026","0.4000","No","CCF"
"9100 192 6198 1","1707110","07/21/2026","0.2600","No","CCF"
"9100 192 6198 1","1707110","07/22/2026","0.4350","Yes","CCF"
"9100 192 6198 1","1707110","07/23/2026","0.4350","Yes","CCF"
"9100 192 6198 1","1707110","07/24/2026","0.4350","Yes","CCF"
"9100 192 6198 1","1707110","07/25/2026","0.4350","Yes","CCF"
"9100 192 6198 1","1707110","07/26/2026","0.3800","No","CCF"
"9100 192 6198 1","1707110","07/27/2026","0.3400","No","CCF"
"9100 192 6198 1","1707110","07/28/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/29/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/30/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/31/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","08/01/2026","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","08/02/2026","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","08/03/2026","0.5133","Yes","CCF"
